tournament,home,home_goal,away_goal,away,home_corner,away_corner,home_attack,away_attack,home_shots,away_shots,time,date,ht_diff,at_diff,ht_result,at_result,total_corners
Copa do Brasil,Jacuipense,1.0,4.0,EC Bahia,4.0,6.0,135.0,117.0,10.0,17.0,00:30:00,2023-03-02,-3.0,3.0,LOST,WON,10.0
Copa do Brasil,Retro,3.0,2.0,Avai,10.0,5.0,106.0,97.0,14.0,8.0,00:30:00,2023-03-02,1.0,-1.0,WON,LOST,15.0
Copa do Brasil,Princesa do Solimoes,1.0,1.0,Ituano,4.0,0.0,167.0,105.0,15.0,6.0,00:00:00,2023-03-02,0.0,0.0,DRAW,DRAW,4.0
Copa do Brasil,Operario MS,1.0,0.0,Operario PR,2.0,9.0,90.0,132.0,6.0,11.0,00:00:00,2023-03-02,1.0,-1.0,WON,LOST,11.0
Copa do Brasil,Athletic Club MG,1.0,1.0,Brasiliense,3.0,1.0,173.0,77.0,13.0,5.0,23:56:22,2023-03-01,0.0,0.0,DRAW,DRAW,4.0
Copa do Brasil,Campinense Clube,0.0,2.0,Gremio,3.0,11.0,78.0,121.0,4.0,20.0,23:00:00,2023-03-01,-2.0,2.0,LOST,WON,14.0
Copa do Brasil,Uniao Rondonopolis,0.0,1.0,CRB,3.0,5.0,119.0,113.0,9.0,15.0,23:00:00,2023-03-01,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Camboriu,1.0,0.0,Manaus,3.0,7.0,97.0,101.0,14.0,8.0,23:00:00,2023-03-01,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Sao Bernardo,0.0,1.0,Nautico Capibaribe,5.0,0.0,176.0,108.0,25.0,5.0,23:00:00,2023-03-01,-1.0,1.0,LOST,WON,5.0
Copa do Brasil,Parnahyba,0.0,0.0,Botafogo SP,5.0,4.0,67.0,74.0,7.0,8.0,23:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,Cordino,0.0,2.0,Brasil de Pelotas,5.0,11.0,90.0,68.0,15.0,13.0,22:00:00,2023-03-01,-2.0,2.0,LOST,WON,16.0
Copa do Brasil,ASA,1.0,1.0,Goias,10.0,3.0,103.0,104.0,9.0,5.0,22:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,13.0
Copa do Brasil,Atletico Alagoinhas,0.0,0.0,Atletico Goianiense,9.0,3.0,68.0,61.0,14.0,7.0,22:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Bahia de Feira,1.0,1.0,Bragantino,1.0,8.0,97.0,151.0,5.0,27.0,22:00:00,2023-03-01,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,tuntum EC,0.0,5.0,ABC,1.0,6.0,81.0,110.0,3.0,22.0,22:00:00,2023-03-01,-5.0,5.0,LOST,WON,7.0
Copa do Brasil,Nova Iguacu,2.0,0.0,Vitoria,3.0,2.0,139.0,96.0,24.0,6.0,18:30:00,2023-03-01,2.0,-2.0,WON,LOST,5.0
Copa do Brasil,Tuna Luso,0.0,1.0,CSA,3.0,5.0,79.0,67.0,22.0,5.0,18:30:00,2023-03-01,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Fluminense PI,0.0,4.0,Ponte Preta,2.0,9.0,152.0,139.0,4.0,16.0,00:30:00,2023-03-01,-4.0,4.0,LOST,WON,11.0
Copa do Brasil,Real Noroeste,1.0,1.0,Vila Nova,3.0,9.0,86.0,72.0,8.0,19.0,23:00:00,2023-02-28,0.0,0.0,DRAW,DRAW,12.0
Copa do Brasil,Democrata GV,1.0,1.0,Santa Cruz FC,3.0,3.0,78.0,87.0,11.0,9.0,22:30:00,2023-02-28,0.0,0.0,DRAW,DRAW,6.0
Copa do Brasil,Tocantinopolis,1.0,1.0,America MG,5.0,10.0,113.0,115.0,16.0,22.0,22:30:00,2023-02-28,0.0,0.0,DRAW,DRAW,15.0
Copa do Brasil,Resende,1.0,2.0,Ferroviario,9.0,6.0,105.0,79.0,11.0,9.0,18:30:00,2023-02-28,-1.0,1.0,LOST,WON,15.0
Copa do Brasil,Vitoria ES,0.0,1.0,Remo,6.0,4.0,132.0,96.0,5.0,6.0,00:30:00,2023-02-24,-1.0,1.0,LOST,WON,10.0
Copa do Brasil,Trem AP,0.0,4.0,Vasco Da Gama RJ,0.0,12.0,76.0,122.0,2.0,31.0,00:30:00,2023-02-24,-4.0,4.0,LOST,WON,12.0
Copa do Brasil,Ceilandia,0.0,1.0,Santos,6.0,2.0,93.0,128.0,2.0,11.0,23:00:00,2023-02-23,-1.0,1.0,LOST,WON,8.0
Copa do Brasil,Sao Luiz,1.0,0.0,Juventude,5.0,7.0,65.0,80.0,8.0,12.0,22:00:00,2023-02-23,1.0,-1.0,WON,LOST,12.0
Copa do Brasil,Humaita,0.0,3.0,Coritiba,5.0,4.0,115.0,110.0,5.0,16.0,22:00:00,2023-02-23,-3.0,3.0,LOST,WON,9.0
Copa do Brasil,Sao Francisco AC,1.0,1.0,Ypiranga RS,5.0,4.0,87.0,105.0,10.0,9.0,00:00:00,2023-02-23,0.0,0.0,DRAW,DRAW,9.0
Copa do Brasil,Marilia,0.0,3.0,Brusque,3.0,3.0,120.0,132.0,17.0,14.0,23:00:00,2023-02-22,-3.0,3.0,LOST,WON,6.0
Copa do Brasil,Caucaia,0.0,0.0,Tombense,7.0,4.0,146.0,103.0,11.0,7.0,22:00:00,2023-02-22,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Sao Raimundo RR,4.0,3.0,Cuiaba,4.0,6.0,93.0,138.0,9.0,29.0,22:00:00,2023-02-22,1.0,-1.0,WON,LOST,10.0
Copa do Brasil,Nova Mutum,4.0,2.0,Londrina,4.0,5.0,,,4.0,2.0,20:00:00,2023-02-22,2.0,-2.0,WON,LOST,9.0
Copa do Brasil,Falcon,1.0,3.0,Volta Redonda,9.0,3.0,100.0,126.0,14.0,9.0,19:00:00,2023-02-22,-2.0,2.0,LOST,WON,12.0
Copa do Brasil,Marcilio Dias,1.0,0.0,Chapecoense,6.0,2.0,174.0,110.0,18.0,13.0,22:00:00,2023-02-21,1.0,-1.0,WON,LOST,8.0
Copa do Brasil,Flamengo,1.0,1.0,Corinthians,2.0,9.0,94.0,114.0,13.0,16.0,01:45:00,2022-10-20,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,Corinthians,0.0,0.0,Flamengo,3.0,5.0,72.0,91.0,13.0,17.0,01:45:00,2022-10-13,0.0,0.0,DRAW,DRAW,8.0
Copa do Brasil,Corinthians,3.0,0.0,Fluminense,5.0,10.0,91.0,86.0,17.0,10.0,00:00:00,2022-09-16,3.0,-3.0,WON,LOST,15.0
Copa do Brasil,Flamengo,1.0,0.0,Sao Paulo,7.0,6.0,100.0,109.0,10.0,15.0,01:45:00,2022-09-15,1.0,-1.0,WON,LOST,13.0
Copa do Brasil,Sao Paulo,1.0,3.0,Flamengo,17.0,2.0,90.0,80.0,21.0,6.0,01:24:28,2022-08-25,-2.0,2.0,LOST,WON,19.0
Copa do Brasil,Fluminense,2.0,2.0,Corinthians,6.0,5.0,93.0,86.0,15.0,10.0,23:15:44,2022-08-24,0.0,0.0,DRAW,DRAW,11.0
Copa do Brasil,America MG,2.0,2.0,Sao Paulo,4.0,1.0,108.0,78.0,12.0,8.0,01:00:00,2022-08-19,0.0,0.0,DRAW,DRAW,5.0
Copa do Brasil,Corinthians,4.0,1.0,Atletico Goianiense,7.0,2.0,126.0,90.0,15.0,9.0,01:30:00,2022-08-18,3.0,-3.0,WON,LOST,9.0
Copa do Brasil,Athletico Paranaense,0.0,1.0,Flamengo,7.0,4.0,101.0,101.0,9.0,13.0,01:30:00,2022-08-18,-1.0,1.0,LOST,WON,11.0
